Zone_Index,Depot_ID,Num_Customers,Medoid_Customer_ID,Total_Weight,Total_Volume,Total_Service
604,D001_3,1,C030747,18.26,0.026,13
605,D001_3,2,C004589,28.67,0.148,17
606,D001_3,3,C020581,65.55,0.097,22
607,D001_3,1,C009557,18.61,0.11,8
608,D001_3,3,C010359,50.12,0.214,26
609,D001_3,3,C034495,54.05,0.271,20
610,D001_3,4,C018628,64.47,0.186,40
611,D001_3,4,C011847,54,0.328,35
612,D001_3,3,C049787,66.46,0.056,24
613,D001_3,3,C007686,63.44,0.066,32
614,D001_3,2,C035203,40.96,0.176,20
615,D001_3,3,C018765,69.46,0.048,25
616,D001_3,1,C032596,23.01,0.166,12
617,D001_3,5,C006840,67.43,0.311,47
618,D001_3,3,C045423,53.14,0.165,32
619,D001_3,2,C003271,30.96,0.078,19
620,D001_3,1,C007575,19.78,0.098,15
621,D001_3,5,C008917,77,0.353,54
622,D001_3,1,C013449,22.18,0.096,12
623,D001_3,4,C013268,78.04,0.143,44
624,D001_3,4,C037244,38.47,0.501,28
625,D001_3,2,C007554,10.68,0.292,9
626,D001_3,2,C018917,12.94,0.364,22
627,D001_3,3,C008410,28.69,0.354,39
628,D001_3,1,C014517,8.09,0.041,12
629,D001_3,4,C014224,14.32,0.62,51
630,D001_3,1,C004583,2.52,0.153,10
631,D001_3,3,C040800,48.35,0.586,40
632,D001_3,2,C030755,36.34,0.166,13
633,D001_3,5,C024790,56.78,0.55,47
634,D001_3,2,C026901,15.74,0.168,16
635,D001_3,1,C042763,23.02,0.063,9
636,D001_3,5,C000343,66.49,0.666,41
637,D001_3,3,C033397,46.24,0.08,27
638,D001_3,4,C039717,46.73,0.427,52
639,D001_3,2,C021532,40.39,0.238,11
640,D001_3,3,C016910,13.32,0.248,21
641,D001_3,3,C016734,29.9,0.42,35
642,D001_3,3,C006496,40.46,0.615,15
643,D001_3,3,C039497,23.25,0.467,24
644,D001_3,4,C048488,53.39,0.477,26
645,D001_3,3,C049233,44.12,0.458,29
646,D001_3,1,C021047,9.12,0.11,10
647,D001_3,3,C019816,38.82,0.467,38
648,D001_3,1,C028625,18.56,0.236,13
649,D001_3,1,C035171,5.36,0.011,6
650,D001_3,5,C023079,39.83,0.564,41
651,D001_3,3,C035110,39.5,0.503,15
652,D001_3,2,C017651,17.78,0.216,18
653,D001_3,2,C025213,17.15,0.115,21
654,D001_3,5,C030772,70.76,0.55,36
655,D001_3,4,C025690,15.53,0.629,32
656,D001_3,3,C020811,51.59,0.579,21
657,D001_3,2,C041417,14.47,0.292,13
658,D001_3,3,C019380,53.16,0.425,30
659,D001_3,3,C007991,28.57,0.485,28
660,D001_3,3,C007829,20.1,0.489,32
661,D001_3,5,C012826,73.62,0.512,50
662,D001_3,4,C030175,71.14,0.342,43
663,D001_3,4,C011461,46.9,0.595,36
664,D001_3,3,C026909,14.29,0.5,34
665,D001_3,2,C012365,37.41,0.205,13
666,D001_3,4,C032573,76.46,0.672,23
667,D001_3,3,C015074,29.61,0.459,38
668,D001_3,1,C018807,8.15,0.208,4
669,D001_3,2,C031950,22.09,0.339,23
670,D001_3,5,C018920,54.27,0.413,44
671,D001_3,4,C020200,74.41,0.363,32
672,D001_3,4,C027255,33.99,0.628,27
673,D001_3,1,C033745,13.55,0.122,3
674,D001_3,5,C034971,35.68,0.663,31
675,D001_3,2,C022677,8.9,0.298,18
676,D001_3,2,C006318,38.77,0.108,24
677,D001_3,3,C001471,48.75,0.206,23
678,D001_3,1,C013110,24.29,0.115,14
679,D001_3,3,C036235,54.28,0.135,29
680,D001_3,3,C006989,36.29,0.224,23
681,D001_3,1,C014672,21.81,0.123,8
682,D001_3,4,C036669,64.01,0.176,23
683,D001_3,4,C018496,61.87,0.354,37
684,D001_3,5,C044574,78.12,0.477,31
685,D001_3,3,C022628,55.86,0.245,17
686,D001_3,2,C022724,43.17,0.148,16
687,D001_3,4,C007008,77.82,0.282,35
688,D001_3,3,C049439,26.15,0.164,28
689,D001_3,4,C019264,73.41,0.217,39
690,D001_3,2,C020328,26.04,0.103,8
691,D001_3,3,C030840,40.19,0.125,27
692,D001_3,4,C008532,70.45,0.211,39
693,D001_3,3,C031172,46.23,0.221,34
694,D001_3,2,C012303,46.23,0.167,8
695,D001_3,3,C046709,52.27,0.099,23
696,D001_3,3,C013523,56.59,0.232,29
697,D001_3,3,C022899,50.12,0.167,27
698,D001_3,4,C035408,76.19,0.345,24
699,D001_3,3,C038580,54.78,0.175,26
700,D001_3,4,C006762,69.7,0.264,47
701,D001_3,3,C015079,51,0.246,28
702,D001_3,2,C028202,49.07,0.264,10
703,D001_3,2,C020502,36.32,0.066,18
704,D001_3,2,C038273,44.75,0.064,11
705,D001_3,2,C005636,40.8,0.047,29
706,D001_3,5,C021238,69.15,0.563,30
707,D001_3,4,C008799,58.77,0.256,31
708,D001_3,1,C019498,12.01,0.077,15
709,D001_3,4,C002403,73.99,0.37,43
710,D001_3,3,C023110,54.64,0.23,30
711,D001_3,1,C020415,12.01,0.093,10
712,D001_3,3,C047997,40.78,0.193,33
713,D001_3,3,C009381,62.3,0.14,36
714,D001_3,1,C014744,19.37,0.061,15
715,D001_3,3,C001725,29.12,0.179,22
716,D001_3,2,C015598,41.03,0.239,13
717,D001_3,3,C013226,52.86,0.269,38
718,D001_3,1,C032447,22.28,0.113,8
719,D001_3,3,C015835,31.52,0.133,19
720,D001_3,2,C016670,42.22,0.247,25
721,D001_3,3,C025363,61.69,0.267,27
722,D001_3,6,C037477,75.26,0.349,54
723,D001_3,2,C009714,27,0.14,27
724,D001_3,3,C033525,53.9,0.311,23
725,D001_3,2,C012516,28.36,0.103,17
726,D001_3,3,C022592,53.6,0.268,26
727,D001_3,3,C026167,63.67,0.238,30
728,D001_3,3,C008335,52.5,0.13,25
729,D001_3,1,C013464,20.01,0.031,10
730,D001_3,1,C021546,24.77,0.107,8
731,D001_3,1,C001722,18.2,0.032,5
732,D001_3,2,C009515,38.17,0.198,19
733,D001_3,3,C016093,39.14,0.295,22
734,D001_3,2,C015661,41.79,0.257,20
735,D001_3,2,C021825,29,0.125,23
736,D001_3,1,C049929,18.53,0.033,3
737,D001_3,2,C008020,43.75,0.308,20
738,D001_3,3,C012994,47.59,0.545,18
739,D001_3,4,C030836,73.62,0.598,34
740,D001_3,1,C022093,12.98,0.248,11
741,D001_3,2,C025379,21.81,0.35,22
742,D001_3,3,C043132,54.67,0.285,20
743,D001_3,2,C009627,38.78,0.153,22
744,D001_3,3,C043164,49.27,0.361,23
745,D001_3,1,C030176,24.95,0.134,6
746,D001_3,3,C019637,51.57,0.279,28
747,D001_3,2,C010781,46.81,0.364,18
748,D001_3,1,C043358,12.46,0.107,3
749,D001_3,3,C020723,69.75,0.441,31
750,D001_3,3,C030349,58.17,0.495,28
751,D001_3,2,C019800,46.57,0.294,11
752,D001_3,2,C032089,45.8,0.327,15
753,D001_3,3,C025604,44.86,0.487,21
754,D001_3,3,C039308,63.57,0.424,21
755,D001_3,3,C030179,63.85,0.47,37
756,D001_3,2,C038960,30.93,0.236,23
757,D001_3,2,C037478,39.18,0.336,26
758,D001_3,2,C020355,34.43,0.412,22
759,D001_3,1,C023243,21.72,0.177,14
760,D001_3,3,C020239,66.31,0.447,27
761,D001_3,3,C011621,63.5,0.519,20
762,D001_3,3,C002220,60.88,0.446,22
763,D001_3,3,C031641,66.85,0.382,28
764,D001_3,2,C000130,41.76,0.419,12
765,D001_3,2,C018602,43.4,0.259,18
766,D001_3,1,C013333,13.41,0.131,14
767,D001_3,2,C016651,33.14,0.348,23
768,D001_3,2,C023221,33.26,0.36,7
769,D001_3,1,C036613,18.55,0.154,11
770,D001_3,3,C021742,63.72,0.595,33
771,D001_3,1,C013913,15.93,0.177,10
772,D001_3,2,C003469,40.37,0.156,25
773,D001_3,2,C011269,41.19,0.278,19
774,D001_3,1,C041431,19.1,0.209,12
775,D001_3,2,C004124,35.62,0.409,23
776,D001_3,4,C044998,66.94,0.387,21
777,D001_3,3,C018660,57.11,0.364,22
778,D001_3,2,C027575,34.13,0.266,17
779,D001_3,1,C027675,23.85,0.077,13
780,D001_3,4,C036946,74.83,0.536,45
781,D001_3,2,C027299,33.66,0.353,20
782,D001_3,3,C027065,48.8,0.345,38
783,D001_3,3,C027379,72.56,0.245,25
784,D001_3,2,C044268,45.56,0.305,17
785,D001_3,2,C023002,39.31,0.266,19
786,D001_3,3,C023574,62.4,0.365,38
787,D001_3,1,C025117,20.65,0.135,14
788,D001_3,1,C049217,24.77,0.136,10
789,D001_3,3,C000990,60.36,0.573,24
790,D001_3,3,C040976,51.39,0.305,19
791,D001_3,2,C004778,36.33,0.321,25
792,D001_3,3,C021580,56.91,0.56,24
793,D001_3,3,C003438,58.87,0.674,21
794,D001_3,2,C027475,17.01,0.467,16
795,D001_3,1,C020321,12.66,0.19,3
796,D001_3,3,C030319,30.02,0.589,39
797,D001_3,2,C003410,21.12,0.454,8
798,D001_3,1,C031532,6.83,0.248,7
799,D001_3,2,C014105,12.64,0.337,24
800,D001_3,1,C034882,21.92,0.209,14
801,D001_3,3,C018032,29.51,0.553,27
802,D001_3,2,C041561,38.53,0.478,20
803,D001_3,2,C005911,22.7,0.408,16
804,D001_3,1,C034206,17.59,0.137,8
805,D001_3,3,C037714,22.9,0.548,36
806,D001_3,3,C012829,34.91,0.638,29
807,D001_3,1,C045919,16.29,0.199,14
808,D001_3,3,C018895,33.16,0.563,30
809,D001_3,3,C014416,47.97,0.555,18
810,D001_3,4,C042682,66.64,0.659,43
811,D001_3,1,C024020,1.99,0.23,7
812,D001_3,1,C013005,7.67,0.152,3
813,D001_3,2,C005045,46.98,0.451,14
814,D001_3,2,C013645,35.98,0.402,15
815,D001_3,2,C024416,6.41,0.3,26
816,D001_3,3,C045886,14.64,0.589,32
817,D001_3,2,C022032,44.15,0.376,16
818,D001_3,3,C014016,37.16,0.53,21
819,D001_3,3,C011823,35.53,0.521,26
820,D001_3,1,C032999,9.14,0.172,6
821,D001_3,2,C009374,16.07,0.412,27
822,D001_3,3,C001928,68.85,0.413,20
823,D001_3,3,C032112,48.61,0.544,12
824,D001_3,2,C027665,16.56,0.42,14
825,D001_3,1,C009655,15.9,0.133,9
826,D001_3,3,C040412,46.14,0.599,21
827,D001_3,1,C044074,14.8,0.219,12
828,D001_3,3,C025876,19.67,0.452,24
829,D001_3,3,C013008,32.61,0.623,24
830,D001_3,1,C000071,15.55,0.148,10
831,D001_3,3,C006368,41.83,0.497,21
832,D001_3,1,C007113,19.64,0.23,7
833,D001_3,3,C027071,35.84,0.663,32
834,D001_3,4,C017819,62.64,0.667,37
835,D001_3,3,C035781,43.09,0.517,35
836,D001_3,2,C024435,27.38,0.34,18
837,D001_3,2,C007402,35.93,0.49,23
838,D001_3,3,C012278,55.11,0.515,14
839,D001_3,1,C028788,16.13,0.229,10
840,D001_3,1,C024168,6.47,0.174,10
841,D001_3,3,C034912,18.52,0.648,29
842,D001_3,3,C049578,30.26,0.535,16
843,D001_3,2,C022873,15.56,0.376,18
844,D001_3,2,C013618,35.44,0.399,26
845,D001_3,1,C031569,22.37,0.205,13
846,D001_3,3,C025523,25.79,0.632,41
847,D001_3,2,C027038,19.36,0.434,21
848,D001_3,3,C049133,21.97,0.68,26
849,D001_3,2,C000417,19.78,0.328,10
850,D001_3,1,C016244,17.49,0.248,12
851,D001_3,1,C049823,4.41,0.242,6
852,D001_3,3,C024141,7.47,0.672,26
853,D001_3,5,C038651,16.13,0.448,40
854,D001_3,5,C035548,37.33,0.368,32
855,D001_3,4,C030870,17.5,0.391,38
856,D001_3,2,C025376,5.59,0.067,14
857,D001_3,3,C000456,19.19,0.253,25
858,D001_3,7,C043857,29.11,0.647,72
859,D001_3,1,C045882,9.47,0.049,5
860,D001_3,7,C029839,36.53,0.545,65
861,D001_3,4,C047833,10.74,0.436,38
862,D001_3,4,C048195,21.45,0.307,52
863,D001_3,8,C037437,55.64,0.68,63
864,D001_3,2,C002669,10.75,0.245,16
865,D001_3,3,C047956,18.73,0.482,27
866,D001_3,3,C029000,21.74,0.317,23
867,D001_3,7,C040614,37.13,0.686,69
868,D001_3,4,C028667,12.19,0.444,31
869,D001_3,5,C005548,27.75,0.544,48
870,D001_3,6,C044997,27.83,0.399,61
871,D001_3,6,C026279,48.57,0.388,59
872,D001_3,1,C041566,14.8,0.137,13
873,D001_3,3,C002087,62.95,0.559,21
874,D001_3,2,C013399,43.07,0.436,20
875,D001_3,2,C018635,40.66,0.395,19
876,D001_3,3,C025183,44.24,0.513,33
877,D001_3,3,C045768,42.87,0.563,27
878,D001_3,2,C026665,24.21,0.391,26
879,D001_3,1,C025539,20.04,0.215,5
880,D001_3,3,C025520,43.34,0.483,11
881,D001_3,1,C005490,23.15,0.23,8
882,D001_3,3,C004065,54.15,0.594,29
883,D001_3,2,C021890,27.23,0.361,14
884,D001_3,3,C035402,54.53,0.511,24
885,D001_3,2,C012463,43.53,0.26,20
886,D001_3,2,C022787,46.05,0.416,24
887,D001_3,3,C023278,53.98,0.653,31
888,D001_3,2,C023115,37.58,0.393,22
889,D001_3,2,C015179,28.86,0.372,9
890,D001_3,3,C003372,59.76,0.482,43
891,D001_3,1,C028568,13.64,0.222,5
892,D001_3,3,C013019,50.44,0.528,37
893,D001_3,2,C043425,35.86,0.2,11
894,D001_3,1,C008904,13.14,0.214,6
895,D001_3,5,C015946,74.7,0.687,45
896,D001_3,3,C009896,43.55,0.531,24
897,D001_3,1,C033566,9.92,0.233,6
898,D001_3,1,C030723,12.43,0.217,9
899,D001_3,3,C020287,41.46,0.577,26
900,D001_3,1,C047114,19.63,0.249,13
901,D001_3,1,C024177,18.74,0.235,11
902,D001_3,2,C012577,18.93,0.463,18
903,D001_3,3,C032151,55.21,0.444,28
904,D001_3,2,C011238,46.1,0.283,9
905,D001_3,3,C032087,50.08,0.591,14
906,D001_3,2,C013644,47.62,0.216,16
907,D001_3,3,C019331,66.3,0.579,23
908,D001_3,1,C021915,23.13,0.243,3
909,D001_3,2,C033494,32.39,0.3,15
910,D001_3,2,C005948,39.27,0.148,17
911,D001_3,2,C008318,39.84,0.31,19
912,D001_3,2,C035291,19.25,0.437,9
913,D001_3,3,C043825,60.48,0.512,30
914,D001_3,1,C000089,20.77,0.204,5
915,D001_3,3,C024718,30.3,0.611,20
916,D001_3,1,C001899,17,0.225,7
917,D001_3,3,C029983,54.44,0.646,20
918,D001_3,1,C036614,14.8,0.242,10
919,D001_3,3,C030070,59.33,0.603,26
920,D001_3,5,C010545,44.88,0.539,46
921,D001_3,2,C046872,7.68,0.362,29
922,D001_3,5,C020954,41.77,0.518,49
923,D001_3,4,C021519,44.23,0.627,26
924,D001_3,4,C045395,58.13,0.566,37
925,D001_3,2,C007545,42.18,0.213,15
926,D001_3,4,C043938,52.39,0.634,29
927,D001_3,3,C011826,17.16,0.3,22
928,D001_3,3,C022194,34.79,0.597,41
929,D001_3,4,C035570,49.13,0.547,28
930,D001_3,1,C046794,10.72,0.203,4
931,D001_3,1,C033045,19.51,0.132,9
932,D001_3,1,C013311,7.08,0.193,7
933,D001_3,3,C003065,48.12,0.59,18
934,D001_3,1,C048863,11.92,0.206,3
935,D001_3,2,C030028,25.49,0.187,15
936,D001_3,2,C028105,20.05,0.27,15
937,D001_3,2,C004514,23.35,0.338,23
938,D001_3,2,C023521,19.61,0.402,14
939,D001_3,3,C000698,52.32,0.546,24
940,D001_3,3,C002682,25.42,0.157,23
941,D001_3,4,C009282,63.33,0.352,31
942,D001_3,2,C015244,21.99,0.318,19
943,D001_3,3,C019100,28.17,0.363,30
944,D001_3,4,C022271,44.74,0.469,40
945,D001_3,3,C006925,59.55,0.489,26
946,D001_3,2,C008372,39.98,0.282,20
947,D001_3,5,C003907,68.99,0.503,47
948,D001_3,3,C029131,31.07,0.591,32
949,D001_3,1,C010446,5.93,0.217,14
950,D001_3,4,C027017,62.4,0.422,41
951,D001_3,2,C022940,16.44,0.242,6
952,D001_3,3,C007727,43.97,0.267,17
953,D001_3,2,C015918,29.77,0.25,14
954,D001_3,3,C019326,59.98,0.574,28
955,D001_3,4,C025606,53.11,0.491,40
956,D001_3,3,C027330,15.97,0.398,32
957,D001_3,3,C003832,48.42,0.299,34
958,D001_3,5,C038037,70.66,0.629,49
959,D001_3,2,C021600,24.62,0.466,17
960,D001_3,1,C015476,20.68,0.245,9
961,D001_3,3,C043105,34.96,0.359,14
962,D001_3,3,C016031,44.47,0.254,33
963,D001_3,4,C033105,41.82,0.52,43
964,D001_3,4,C024850,55.12,0.604,36
965,D001_3,3,C019617,46.43,0.301,34
966,D001_3,1,C014653,6.95,0.209,8
967,D001_3,2,C028115,6.24,0.318,11
968,D001_3,1,C046936,24.32,0.109,10
969,D001_3,4,C015956,38.19,0.682,28
970,D001_3,3,C038999,42.86,0.391,29
971,D001_3,4,C048883,47.47,0.4,28
972,D001_3,6,C003161,64.44,0.693,62
973,D001_3,4,C046159,58.61,0.527,42
974,D001_3,2,C015631,32.25,0.158,17
975,D001_3,3,C002239,44.98,0.336,25
976,D001_3,2,C014737,39.47,0.121,30
977,D001_3,1,C045994,21.62,0.203,3
978,D001_3,4,C042464,51.52,0.224,28
979,D001_3,3,C049205,41.33,0.212,31
980,D001_3,3,C040487,30.42,0.469,25
981,D001_3,4,C041644,25.75,0.529,49
982,D001_3,2,C034012,33.91,0.367,20
983,D001_3,3,C028135,54.9,0.656,28
984,D001_3,1,C041179,24.11,0.208,11
985,D001_3,1,C022369,12.49,0.234,3
986,D001_3,3,C027277,67.02,0.543,37
987,D001_3,1,C016251,11.9,0.226,6
988,D001_3,3,C027937,63.93,0.512,28
989,D001_3,2,C013709,36.27,0.341,13
990,D001_3,4,C000233,62.97,0.693,38
991,D001_3,3,C033502,62.43,0.572,27
992,D001_3,3,C046881,56.73,0.502,29
993,D001_3,2,C018744,35.48,0.385,27
994,D001_3,3,C033141,53,0.543,25
995,D001_3,1,C008062,7.66,0.213,14
996,D001_3,1,C040851,6.83,0.134,3
997,D001_3,3,C000161,65.02,0.529,29
998,D001_3,1,C012329,19.91,0.1,3
999,D001_3,4,C032090,73.19,0.633,37
1000,D001_3,1,C038992,11.71,0.149,6
1001,D001_3,2,C023425,25.02,0.289,8
1002,D001_3,3,C042645,73.76,0.498,25
1003,D001_3,1,C011714,12,0.154,10
1004,D001_3,1,C020395,21.26,0.228,12
1005,D001_3,1,C026543,21.28,0.183,7
1006,D001_3,2,C020885,29.13,0.468,19
1007,D001_3,3,C012012,68.59,0.591,26
1008,D001_3,3,C011426,58.98,0.596,27
1009,D001_3,1,C039009,14.58,0.19,3
1010,D001_3,3,C031351,65.08,0.59,38
1011,D001_3,2,C010217,43.96,0.302,19
1012,D001_3,1,C047574,16.32,0.216,4
1013,D001_3,4,C015993,76,0.637,33
1014,D001_3,3,C027145,54.92,0.6,32
1015,D001_3,4,C012978,60.63,0.607,23
1016,D001_3,2,C002226,33.25,0.407,19
1017,D001_3,2,C002076,45.96,0.265,18
1018,D001_3,3,C027858,49,0.431,20
1019,D001_3,3,C030775,43.34,0.544,27
1020,D001_3,1,C033710,24.69,0.152,9
1021,D001_3,3,C034608,58.2,0.412,18
1022,D001_3,3,C017184,29.03,0.458,18
1023,D001_3,2,C000671,28.54,0.281,21
1024,D001_3,4,C042250,55.14,0.642,39
1025,D001_3,2,C035184,46.65,0.382,19
1026,D001_3,3,C020423,52.27,0.066,32
1027,D001_3,2,C027444,37.11,0.15,18
1028,D001_3,3,C013959,45.59,0.148,21
1029,D001_3,3,C047536,64.28,0.204,18
1030,D001_3,1,C038728,17.28,0.063,4
1031,D001_3,4,C031454,73.09,0.194,42
1032,D001_3,1,C027621,20.7,0.008,11
1033,D001_3,3,C026334,68.92,0.208,13
1034,D001_3,1,C031777,20.37,0.009,3
1035,D001_3,1,C047636,20.95,0.081,14
1036,D001_3,2,C010721,40.25,0.163,12
1037,D001_3,2,C028769,40.21,0.062,14
1038,D001_3,1,C046131,19.39,0.133,15
1039,D001_3,4,C008593,70.18,0.259,34
1040,D001_3,1,C048753,14.39,0.075,6
1041,D001_3,2,C004505,39.34,0.187,12
1042,D001_3,1,C014265,22.12,0.094,15
1043,D001_3,3,C001611,71.4,0.058,30
1044,D001_3,3,C026653,69.77,0.213,23
1045,D001_3,1,C006946,15.15,0.025,14
1046,D001_3,4,C014842,66.38,0.297,49
1047,D001_3,5,C019457,77.76,0.321,50
1048,D001_3,3,C014121,57.42,0.148,26
1049,D001_3,4,C040139,76.5,0.348,50
1050,D001_3,3,C028963,55.97,0.256,21
1051,D001_3,3,C049793,66.37,0.133,27
1052,D001_3,1,C049924,22.37,0.054,3
1053,D001_3,4,C047130,66.75,0.164,37
1054,D001_3,3,C002467,49.5,0.134,17
1055,D001_3,2,C018071,35.46,0.189,18
1056,D001_3,4,C034546,65.55,0.258,26
1057,D001_3,2,C016264,24.18,0.063,18
1058,D001_3,2,C008839,36.38,0.154,15
1059,D001_3,4,C013713,71.09,0.266,35
1060,D001_3,2,C004038,32.17,0.128,19
1061,D001_3,3,C033181,50.14,0.152,29
1062,D001_3,4,C028584,65.99,0.388,41
1063,D001_3,3,C038489,66.66,0.363,15
1064,D001_3,3,C041205,66.6,0.101,26
1065,D001_3,3,C013961,58.96,0.165,25
1066,D001_3,2,C022159,36.8,0.157,20
1067,D001_3,2,C018672,45.31,0.078,13
1068,D001_3,5,C038939,72.08,0.357,36
1069,D001_3,3,C031070,24.59,0.135,40
1070,D001_3,5,C007149,71.38,0.325,57
1071,D001_3,3,C001060,48.5,0.243,19
1072,D001_3,1,C024716,13.41,0.011,9
1073,D001_3,2,C009273,34.06,0.128,18
1074,D001_3,3,C035010,50.59,0.188,40
1075,D001_3,2,C024054,28.37,0.138,10
1076,D001_3,1,C007456,23.43,0.051,4
1077,D001_3,1,C042744,13.2,0.052,6
1078,D001_3,5,C026993,77.18,0.247,49
1079,D001_3,2,C002857,23.64,0.104,19
1080,D001_3,4,C020836,56.41,0.126,41
1081,D001_3,2,C030367,35.5,0.025,29
1082,D001_3,3,C026617,29.52,0.151,27
1083,D001_3,3,C044695,41.45,0.21,19
1084,D001_3,3,C037702,48.15,0.103,28
1085,D001_3,1,C018465,24.2,0.033,15
1086,D001_3,5,C044455,75.29,0.193,48
1087,D001_3,5,C046574,74.62,0.205,39
1088,D001_3,5,C040916,70.3,0.437,54
1089,D001_3,4,C008107,33.33,0.22,24
1090,D001_3,5,C032853,54.25,0.27,37
1091,D001_3,5,C000035,78.2,0.202,56
1092,D001_3,4,C005133,30.48,0.199,26
1093,D001_3,3,C020991,32.59,0.181,31
1094,D001_3,4,C032476,48.12,0.297,40
1095,D001_3,3,C007769,61.6,0.109,33
1096,D001_3,2,C012915,33.96,0.096,22
1097,D001_3,1,C040194,9.19,0.007,9
1098,D001_3,4,C014506,73.3,0.168,31
1099,D001_3,1,C021298,14.47,0.006,12
1100,D001_3,1,C002739,14.38,0.014,8
1101,D001_3,4,C014946,65.07,0.112,53
1102,D001_3,3,C010060,38.72,0.177,27
1103,D001_3,5,C049416,69.23,0.397,35
1104,D001_3,4,C018244,57.49,0.177,41
1105,D001_3,3,C024688,45.62,0.152,35
1106,D001_3,2,C021676,16.52,0.22,15
1107,D001_3,4,C025696,48.88,0.685,40
1108,D001_3,5,C022698,74.58,0.646,43
1109,D001_3,5,C015507,76.59,0.62,54
1110,D001_3,1,C034827,21.39,0.094,11
1111,D001_3,3,C018683,28.46,0.401,25
1112,D001_3,3,C041359,45.92,0.576,37
1113,D001_3,5,C014966,46.79,0.503,35
1114,D001_3,2,C026893,26.72,0.262,16
1115,D001_3,4,C028482,72.63,0.428,28
1116,D001_3,1,C030716,18.01,0.122,4
1117,D001_3,4,C022011,13.11,0.646,48
1118,D001_3,4,C034814,68.32,0.501,19
1119,D001_3,2,C010409,20.53,0.295,11
1120,D001_3,1,C043099,13.57,0.013,11
1121,D001_3,4,C040775,69.9,0.281,34
1122,D001_3,3,C006526,12.92,0.476,11
1123,D001_3,2,C000691,19.43,0.361,25
1124,D001_3,2,C018378,33.78,0.457,17
1125,D001_3,4,C005569,40.9,0.372,39
1126,D001_3,2,C026733,6.72,0.272,17
1127,D001_3,2,C008739,37.39,0.228,21
1128,D001_3,4,C009613,51.76,0.574,46
1129,D001_3,3,C039077,30.49,0.307,21
1130,D001_3,4,C047906,60.06,0.549,35
1131,D001_3,2,C002666,26.57,0.256,20
1132,D001_3,5,C042211,68.67,0.412,33
1133,D001_3,8,C048999,72.59,0.394,68
1134,D001_3,2,C017146,13.41,0.219,12
1135,D001_3,1,C037448,11.6,0.094,8
1136,D001_3,1,C025936,8.56,0.062,4
1137,D001_3,7,C002111,42.2,0.538,61
1138,D001_3,5,C048849,27.53,0.478,41
1139,D001_3,8,C030044,43.06,0.498,74
1140,D001_3,3,C000026,9.86,0.269,26
1141,D001_3,7,C013603,38.11,0.536,69
1142,D001_3,6,C017068,51.45,0.484,64
1143,D001_3,5,C018231,43.94,0.206,49
1144,D001_3,7,C030221,39.78,0.28,54
1145,D001_3,5,C001318,51.59,0.299,31
1146,D001_3,7,C049139,41.11,0.361,58
1147,D001_3,7,C014868,45.44,0.487,54
1148,D001_3,3,C027402,13.72,0.228,24
1149,D001_3,6,C038468,46.48,0.48,44
1150,D001_3,2,C043106,22.56,0.217,9
1151,D001_3,4,C036911,63.79,0.608,40
1152,D001_3,1,C001614,7.37,0.221,7
1153,D001_3,4,C005374,46.74,0.549,50
1154,D001_3,1,C038335,1.33,0.165,4
1155,D001_3,1,C048077,22.18,0.062,9
1156,D001_3,1,C028212,19.66,0.052,13
1157,D001_3,4,C029259,67.59,0.497,35
1158,D001_3,2,C001573,29.98,0.161,16
1159,D001_3,4,C018038,36.91,0.628,35
1160,D001_3,3,C039023,24.35,0.509,29
1161,D001_3,2,C016051,30.56,0.154,28
1162,D001_3,5,C039999,63.35,0.659,49
1163,D001_3,3,C013971,30.25,0.376,26
1164,D001_3,5,C010613,52.48,0.578,42
1165,D001_3,3,C008151,39.14,0.659,26
1166,D001_3,1,C040906,16.58,0.041,8
1167,D001_3,2,C025102,28.17,0.353,21
1168,D001_3,4,C035843,61.77,0.422,35
1169,D001_3,1,C005970,10.21,0.027,15
1170,D001_3,2,C009556,19.74,0.478,22
1171,D001_3,3,C002360,52.14,0.134,41
1172,D001_3,3,C010997,20.91,0.465,16
1173,D001_3,2,C015590,30.76,0.365,25
1174,D001_3,3,C026078,46.85,0.384,12
1175,D001_3,3,C028354,27.5,0.192,37
1176,D001_3,3,C007750,55.76,0.536,27
1177,D001_3,5,C014482,54.87,0.451,37
1178,D001_3,4,C018734,38.49,0.085,37
1179,D001_3,2,C003586,43.99,0.251,19
1180,D001_3,4,C014106,42.27,0.652,36
1181,D001_3,4,C001031,33.83,0.557,49
1182,D001_3,4,C038952,70.92,0.306,21
1183,D001_3,1,C011043,21.2,0.164,5
1184,D001_3,3,C024001,35.4,0.24,22
1185,D001_3,4,C023770,73.26,0.503,31
1186,D001_3,4,C040559,65.13,0.51,45
1187,D001_3,2,C002109,41.1,0.227,17
1188,D001_3,2,C007095,45.19,0.228,19
1189,D001_3,2,C002864,35.06,0.321,11
1190,D001_3,2,C005060,15.7,0.206,20
1191,D001_3,2,C022180,43.61,0.237,16
1192,D001_3,2,C001576,36.69,0.378,25
1193,D001_3,1,C033299,9.18,0.101,14
1194,D001_3,3,C031757,65.51,0.328,30
1195,D001_3,1,C032040,22.79,0.061,12
1196,D001_3,3,C033994,53.78,0.308,23
1197,D001_3,1,C029962,17.79,0.026,9
1198,D001_3,3,C014803,57.49,0.114,18
1199,D001_3,2,C002913,34.12,0.139,23
1200,D001_3,2,C013251,46.25,0.247,19
1201,D001_3,3,C032721,66.76,0.336,34
